id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
134,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
135,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
136,1,b1,Switch,isOn,false,SUCCESS. Solved by ,
137,1,b0,Switch,isOn,false,FAILED. Abort was invoked.,
138,1,door54,Door,isOpen,false,FAILED. Abort was invoked.,
139,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
140,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
141,1,door54,Door,isOpen,false,FAILED. Abort was invoked.,
142,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
143,1,b0,Switch,isOn,true,SUCCESS. Solved by ,
144,1,b0,Switch,isOn,false,FAILED. Abort was invoked.,
145,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
146,1,door54,Door,isOpen,false,FAILED. Abort was invoked.,
147,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
148,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
149,1,b0,Switch,isOn,true,SUCCESS. Solved by ,
150,1,b0,Switch,isOn,false,FAILED. Abort was invoked.,
151,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
152,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
153,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
154,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
155,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
156,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
157,1,b1,Switch,isOn,false,SUCCESS. Solved by ,
158,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
159,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
160,1,b21,Switch,isOn,false,SUCCESS. Solved by ,
161,1,b21,Switch,isOn,true,SUCCESS. Solved by ,
162,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
163,1,b21,Switch,isOn,false,SUCCESS. Solved by ,
164,1,b21,Switch,isOn,true,SUCCESS. Solved by ,
165,1,b22,Switch,isOn,true,SUCCESS. Solved by ,
166,1,b1,Switch,isOn,true,FAILED. Abort was invoked.,
167,1,b0,Switch,isOn,false,SUCCESS. Solved by ,
168,1,b1,Switch,isOn,false,FAILED. Abort was invoked.,
169,1,door54,Door,isOpen,false,FAILED. Abort was invoked.,
170,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
171,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
172,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
173,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
174,1,b21,Switch,isOn,false,SUCCESS. Solved by ,
175,1,b22,Switch,isOn,false,SUCCESS. Solved by ,
176,1,b1,Switch,isOn,false,FAILED. Abort was invoked.,
177,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
178,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
179,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
180,1,b45,Switch,isOn,true,FAILED. Abort was invoked.,
181,1,door54,Door,isOpen,true,FAILED. Abort was invoked.,
182,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
183,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
184,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
185,1,b1,Switch,isOn,false,SUCCESS. Solved by ,
186,1,door54,Door,isOpen,false,SUCCESS. Solved by ,
187,1,b1,Switch,isOn,true,FAILED. Abort was invoked.,
188,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
189,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
190,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
191,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
192,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
193,1,b0,Switch,isOn,false,SUCCESS. Solved by ,
194,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
195,1,door39,Door,isOpen,false,FAILED. Abort was invoked.,
196,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
197,1,b46,Switch,isOn,false,FAILED. Abort was invoked.,
198,1,door49,Door,isOpen,false,FAILED. Abort was invoked.,
199,1,door54,Door,isOpen,true,FAILED. Abort was invoked.,
200,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
201,1,b0,Switch,isOn,true,FAILED. Abort was invoked.,
